parameter,value,request_sla_pct,throughput_tok_s,p95_latency_s,avg_batch_size
K_BINS,1,2.8400000000000003,270.44634145867684,18.480393020132077,0
K_BINS,2,1.9900000000000002,270.44634145867684,17.25663336289522,0
K_BINS,4,1.79,270.44634145867684,16.47388219738932,0
K_BINS,8,2.39,270.44634145867684,17.14749123472683,0
K_BINS,16,4.21,270.44634145867684,19.167289070982033,0
NUM_GPUS,1,98.57000000000001,234.30636751332554,7938.414582318273,0
NUM_GPUS,2,70.49,270.37019321462793,673.9160735402257,0
NUM_GPUS,4,1.79,270.44634145867684,16.47388219738932,0
NUM_GPUS,8,0.16,270.44634145867684,13.145663898463681,0
NUM_GPUS,16,0.13,270.44634145867684,13.053791946760612,0
